name,id,email,tutorial_group
"Gerrard, Lisa",1003149711,lisa.gerrard@myuni.edu,TUT0201
"Tyler, Steven",1005325958,steven.tyler@myuni.edu,TUT0101
"Martin, Chris",1004707980,chris.martin@myuni.edu,TUT0301
"Berwald, Franz",1006334334,franz.berwald@myuni.edu,TUT0201
"Rudess, Jordan",1002778344,jordan.rudess@myuni.edu,TUT0301
"Mraz, Jason",1001402975,jason.mraz@myuni.edu,TUT0201
"Taylor, Corey",1005484661,corey.taylor@myuni.edu,TUT0301
"Clarkson, Kelly",1008154918,kelly.clarkson@myuni.edu,TUT0201
"White, Jack",1008714039,jack.white@myuni.edu,TUT0101
"Manilow, Barry",1005967129,barry.manilow@myuni.edu,TUT0401
"Tartini, Giuseppe",1008041543,giuseppe.tartini@myuni.edu,TUT0301
"Gers, Janick",1009839967,janick.gers@myuni.edu,TUT0401
"Garbarek, Jan",1003078294,jan.garbarek@myuni.edu,TUT0401
"Scott, Bon",1003160708,bon.scott@myuni.edu,TUT0401
"Astley, Rick",1001452923,rick.astley@myuni.edu,TUT0301
"Teng, Teresa",1009987348,teresa.teng@myuni.edu,TUT0201
"Bocelli, Andrea",1008549985,andrea.bocelli@myuni.edu,TUT0401
"Clayderman, Richard",1006011675,richard.clayderman@myuni.edu,TUT0301
"Sor, Fernando",1005425789,fernando.sor@myuni.edu,TUT0201
"Hagen, Nina",1005271857,nina.hagen@myuni.edu,TUT0201
"Boulanger, Nadia",1003410068,nadia.boulanger@myuni.edu,TUT0101
"Sosa, Mercedes",1008935878,mercedes.sosa@myuni.edu,TUT0301
"Kitt, Eartha",1001921364,eartha.kitt@myuni.edu,TUT0301
"Johnson, Jack",1007084501,jack.johnson@myuni.edu,TUT0101
"Stone, Joss",1007427756,joss.stone@myuni.edu,TUT0301
"Braxton, Toni",1002060673,toni.braxton@myuni.edu,TUT0101
"Glover, Roger",1005946382,roger.glover@myuni.edu,TUT0301
"Fabian, Lara",1002693105,lara.fabian@myuni.edu,TUT0101
"Pausini, Laura",1007971832,laura.pausini@myuni.edu,TUT0201
"Khusro, Amir",1005369542,amir.khusro@myuni.edu,TUT0401
"West, Kanye",1008606278,kanye.west@myuni.edu,TUT0301
"Williams, Andy",1002791516,andy.williams@myuni.edu,TUT0301
"Downs, Lila",1001334925,lila.downs@myuni.edu,TUT0401
"Wilde, Kim",1009626967,kim.wilde@myuni.edu,TUT0401
"Bohlen, Dieter",1004307903,dieter.bohlen@myuni.edu,TUT0301
"Anders, Thomas",1006376944,thomas.anders@myuni.edu,TUT0201
"Chou, Jay",1008291557,jay.chou@myuni.edu,TUT0101
"Johnson, Brian",1004161838,brian.johnson@myuni.edu,TUT0301
"Young, Angus",1008069485,angus.young@myuni.edu,TUT0401
"Young, Malcolm",1008565727,malcolm.young@myuni.edu,TUT0401
"Caillat, Colbie",1004445797,colbie.caillat@myuni.edu,TUT0101
"Chaliapin, Feodor",1008245218,feodor.chaliapin@myuni.edu,TUT0201
"Wieniawski, Henryk",1009222625,henryk.wieniawski@myuni.edu,TUT0101
"Bryan, David",1002748717,david.bryan@myuni.edu,TUT0201
"Roussos, Demis",1004808744,demis.roussos@myuni.edu,TUT0401
"Makeba, Miriam",1006127905,miriam.makeba@myuni.edu,TUT0301
"Lanza, Mario",1006983294,mario.lanza@myuni.edu,TUT0201
"McKagan, Duff",1002528540,duff.mckagan@myuni.edu,TUT0301
"David, Craig",1005672786,craig.david@myuni.edu,TUT0401
"Manson, Marilyn",1009821421,marilyn.manson@myuni.edu,TUT0401
"Banks, Lloyd",1008861300,lloyd.banks@myuni.edu,TUT0101
"Melua, Katie",1008866991,katie.melua@myuni.edu,TUT0401
"Ferrer, Ibrahim",1008314316,ibrahim.ferrer@myuni.edu,TUT0201
"Bartoli, Cecilia",1003712468,cecilia.bartoli@myuni.edu,TUT0201
"Vishnevskaya, Galina",1009481730,galina.vishnevskaya@myuni.edu,TUT0201
"McBrain, Nicko",1008519227,nicko.mcbrain@myuni.edu,TUT0401
"Williams, Pharrell",1001498758,pharrell.williams@myuni.edu,TUT0301
"Armstrong, Billie Joe",1008401436,billie joe.armstrong@myuni.edu,TUT0401
"Hammer, MC",1007707564,mc.hammer@myuni.edu,TUT0301
"Connor, Sarah",1009699456,sarah.connor@myuni.edu,TUT0201
"Molko, Brian",1002364620,brian.molko@myuni.edu,TUT0401
"Rotaru, Sofia",1002209249,sofia.rotaru@myuni.edu,TUT0401
"Sanz, Alejandro",1006026619,alejandro.sanz@myuni.edu,TUT0101
"Smith, Adrian",1006314949,adrian.smith@myuni.edu,TUT0101
"Kaneshiro, Takeshi",1007880290,takeshi.kaneshiro@myuni.edu,TUT0101
"Aksu, Sezen",1002142731,sezen.aksu@myuni.edu,TUT0301
"Gergiev, Valery",1009289975,valery.gergiev@myuni.edu,TUT0101
"Kruspe, Richard Zven",1007716684,richard zven.kruspe@myuni.edu,TUT0301
"Landers, Paul",1006249740,paul.landers@myuni.edu,TUT0101
"Lindemann, Till",1005183425,till.lindemann@myuni.edu,TUT0101
"Riedel, Oliver",1007707450,oliver.riedel@myuni.edu,TUT0101
"Schneider, Christoph",1006877304,christoph.schneider@myuni.edu,TUT0201
"Lorenz, Christian",1007338521,christian.lorenz@myuni.edu,TUT0301
"Bedingfield, Natasha",1004211921,natasha.bedingfield@myuni.edu,TUT0101
"BoBo, DJ",1009908196,dj.bobo@myuni.edu,TUT0201
"Flowers, Brandon",1009137163,brandon.flowers@myuni.edu,TUT0401
"Hughes, Mark",1001478801,mark.hughes@myuni.edu,TUT0301
"Winehouse, Amy",1009791145,amy.winehouse@myuni.edu,TUT0101
"Tiersen, Yann",1001849456,yann.tiersen@myuni.edu,TUT0401
"Turunen, Tarja",1004867510,tarja.turunen@myuni.edu,TUT0401
"Holopainen, Tuomas",1004703589,tuomas.holopainen@myuni.edu,TUT0401
"Hietala, Marco",1007608924,marco.hietala@myuni.edu,TUT0201
"Nevalainen, Jukka",1005065316,jukka.nevalainen@myuni.edu,TUT0301
"DeLonge, Tom",1006139413,tom.delonge@myuni.edu,TUT0101
"Marley, Damian",1007176097,damian.marley@myuni.edu,TUT0101
"Joe, Fat",1006429514,fat.joe@myuni.edu,TUT0301
"Howard, Dominic",1009161553,dominic.howard@myuni.edu,TUT0401
"Wolstenholme, Chris",1008021940,chris.wolstenholme@myuni.edu,TUT0301
"Laiho, Alexi",1005201871,alexi.laiho@myuni.edu,TUT0201
"Hoppus, Mark",1003654295,mark.hoppus@myuni.edu,TUT0301
"Rafferty, Gerry",1009799925,gerry.rafferty@myuni.edu,TUT0101
"Prydz, Eric",1004779106,eric.prydz@myuni.edu,TUT0401
"Lee, Amy",1009962372,amy.lee@myuni.edu,TUT0201
"Morse, Steve",1008487750,steve.morse@myuni.edu,TUT0201
"Mouskouri, Nana",1004928188,nana.mouskouri@myuni.edu,TUT0301
"Jon, Lil",1006285878,lil.jon@myuni.edu,TUT0401
"Lang, Lang",1007887380,lang.lang@myuni.edu,TUT0301
"Bellamy, Matthew",1007005259,matthew.bellamy@myuni.edu,TUT0401
"Yankee, Daddy",1008005903,daddy.yankee@myuni.edu,TUT0201
"Stefano, Giuseppe Di",1003820593,giuseppe di.stefano@myuni.edu,TUT0201
"Brokken, Corry",1003785183,corry.brokken@myuni.edu,TUT0301
"Gately, Stephen",1004093079,stephen.gately@myuni.edu,TUT0201
"Ramazzotti, Eros",1005083812,eros.ramazzotti@myuni.edu,TUT0301
"Tsoi, Viktor",1004997374,viktor.tsoi@myuni.edu,TUT0401
"Corsten, Ferry",1007602428,ferry.corsten@myuni.edu,TUT0401
"Pugacheva, Alla",1001485672,alla.pugacheva@myuni.edu,TUT0301
"Berryman, Guy",1003403569,guy.berryman@myuni.edu,TUT0101
"Paparizou, Elena",1004341535,elena.paparizou@myuni.edu,TUT0201
"Gaga, Lady",1006404622,lady.gaga@myuni.edu,TUT0401
"Underwood, Carrie",1008041588,carrie.underwood@myuni.edu,TUT0401
"Vargas, Chavela",1008122175,chavela.vargas@myuni.edu,TUT0401
"Legend, John",1007201629,john.legend@myuni.edu,TUT0201
"Ajram, Nancy",1005553846,nancy.ajram@myuni.edu,TUT0101
"Koda, Kumi",1005082359,kumi.koda@myuni.edu,TUT0301
"Cinquetti, Gigliola",1005558982,gigliola.cinquetti@myuni.edu,TUT0201
"Abdul, Paula",1006636150,paula.abdul@myuni.edu,TUT0201
"Love, Courtney",1004619598,courtney.love@myuni.edu,TUT0401
"Hammett, Kirk",1003446057,kirk.hammett@myuni.edu,TUT0301
"Ryan, Kate",1008950145,kate.ryan@myuni.edu,TUT0201
"Fletcher, Andrew",1006498285,andrew.fletcher@myuni.edu,TUT0401
"Sean, Jay",1003364971,jay.sean@myuni.edu,TUT0401
"Meine, Klaus",1005314608,klaus.meine@myuni.edu,TUT0401
"Buckland, Jonny",1005554208,jonny.buckland@myuni.edu,TUT0101
"Champion, Will",1006026183,will.champion@myuni.edu,TUT0201
"Benassi, Benny",1002899220,benny.benassi@myuni.edu,TUT0201
"Jopek, Anna Maria",1004647702,anna maria.jopek@myuni.edu,TUT0201
"Simons, Simone",1009854453,simone.simons@myuni.edu,TUT0201
"Gossow, Angela",1003833645,angela.gossow@myuni.edu,TUT0301
"Ferro, Tiziano",1002887630,tiziano.ferro@myuni.edu,TUT0301
"Kaas, Patricia",1004944988,patricia.kaas@myuni.edu,TUT0201
"Kavanagh, Niamh",1004789643,niamh.kavanagh@myuni.edu,TUT0401
"Adamo, Salvatore",1009771044,salvatore.adamo@myuni.edu,TUT0301
"Netrebko, Anna",1007958379,anna.netrebko@myuni.edu,TUT0101
"Sinclar, Bob",1009986598,bob.sinclar@myuni.edu,TUT0301
"Jordison, Joey",1002321374,joey.jordison@myuni.edu,TUT0201
"Dalla, Lucio",1007992170,lucio.dalla@myuni.edu,TUT0101
"Escobar, Manolo",1004910111,manolo.escobar@myuni.edu,TUT0201
"Nilsson, Charlotte",1006239130,charlotte.nilsson@myuni.edu,TUT0201
"Lorak, Ani",1004859365,ani.lorak@myuni.edu,TUT0401
"Brown, Chris",1007798136,chris.brown@myuni.edu,TUT0101
"Spektor, Regina",1002833870,regina.spektor@myuni.edu,TUT0101
"Guetta, David",1002522059,david.guetta@myuni.edu,TUT0301
"Putaansuu, Tomi",1005427940,tomi.putaansuu@myuni.edu,TUT0301
"Rey, Lana Del",1009846669,lana del.rey@myuni.edu,TUT0101
"Talbot, John Michael",1005228117,john michael.talbot@myuni.edu,TUT0201
"Sparks, Jordin",1007886355,jordin.sparks@myuni.edu,TUT0301
"Yener, Hande",1009035948,hande.yener@myuni.edu,TUT0301
"Villas, Violetta",1005923654,violetta.villas@myuni.edu,TUT0101
"Simpson, Jessica",1008854307,jessica.simpson@myuni.edu,TUT0401
"Dylan, Bob",1006956624,bob.dylan@myuni.edu,TUT0301
"Barrett, Syd",1006702377,syd.barrett@myuni.edu,TUT0201
"Allen, Lily",1004523422,lily.allen@myuni.edu,TUT0401
"Hilson, Keri",1002417140,keri.hilson@myuni.edu,TUT0301
"Humperdinck, Engelbert",1006584998,engelbert.humperdinck@myuni.edu,TUT0401
"John, Elton",1006951486,elton.john@myuni.edu,TUT0201
"Wainwright, Rufus",1007246738,rufus.wainwright@myuni.edu,TUT0101
"Blackmore, Ritchie",1009575156,ritchie.blackmore@myuni.edu,TUT0101
"Gillan, Ian",1009362585,ian.gillan@myuni.edu,TUT0201
"Parsons, Alan",1004624123,alan.parsons@myuni.edu,TUT0401
"Scherzinger, Nicole",1009904370,nicole.scherzinger@myuni.edu,TUT0401
"Gomez, Selena",1005950341,selena.gomez@myuni.edu,TUT0301
"Ernman, Malena",1002342382,malena.ernman@myuni.edu,TUT0401
"Lewis, Leona",1004141330,leona.lewis@myuni.edu,TUT0101
"Kirkorov, Filipp",1007572166,filipp.kirkorov@myuni.edu,TUT0201
"Rybak, Alexander",1006376395,alexander.rybak@myuni.edu,TUT0201
"Marley, Bob",1008454725,bob.marley@myuni.edu,TUT0101
"Khalifa, Wiz",1004299333,wiz.khalifa@myuni.edu,TUT0201
"Perry, Katy",1005631823,katy.perry@myuni.edu,TUT0101
"Cruz, Taio",1004685288,taio.cruz@myuni.edu,TUT0201
"Vega, Suzanne",1006821451,suzanne.vega@myuni.edu,TUT0101
"Cole, Cheryl",1009417590,cheryl.cole@myuni.edu,TUT0101
"Harris, Calvin",1003183621,calvin.harris@myuni.edu,TUT0301
"Skaat, Harel",1005452210,harel.skaat@myuni.edu,TUT0401
"Williams, Hayley",1003221475,hayley.williams@myuni.edu,TUT0301
"Serduchka, Verka",1007549611,verka.serduchka@myuni.edu,TUT0101
"Deacon, John",1005826842,john.deacon@myuni.edu,TUT0401
"Calloway, Cab",1005677305,cab.calloway@myuni.edu,TUT0101
"Olzon, Anette",1008124447,anette.olzon@myuni.edu,TUT0301
"Kingston, Sean",1003336832,sean.kingston@myuni.edu,TUT0401
"Macdonald, Amy",1007220892,amy.macdonald@myuni.edu,TUT0201
"Cash, Johnny",1004394811,johnny.cash@myuni.edu,TUT0301
"Soler, Pastora",1007972975,pastora.soler@myuni.edu,TUT0301
"Jepsen, Carly Rae",1003161928,carly rae.jepsen@myuni.edu,TUT0301
"Lovato, Demi",1006887227,demi.lovato@myuni.edu,TUT0401
"Way, Gerard",1005821430,gerard.way@myuni.edu,TUT0201
"McCartney, Paul",1005899782,paul.mccartney@myuni.edu,TUT0201
"Rida, Flo",1006693649,flo.rida@myuni.edu,TUT0401
"Rouvas, Sakis",1009080937,sakis.rouvas@myuni.edu,TUT0201
"Jackson, Michael",1008424126,michael.jackson@myuni.edu,TUT0101
"Blunt, James",1002489734,james.blunt@myuni.edu,TUT0401
"Morrison, Jim",1009899843,jim.morrison@myuni.edu,TUT0201
"Harry, Debbie",1008369839,debbie.harry@myuni.edu,TUT0101
"Archuleta, David",1007063341,david.archuleta@myuni.edu,TUT0201
"Derulo, Jason",1003880321,jason.derulo@myuni.edu,TUT0201
"Narayan, Ram",1004931530,ram.narayan@myuni.edu,TUT0101
"Baez, Joan",1008806383,joan.baez@myuni.edu,TUT0101
"Jonas, Joe",1008654094,joe.jonas@myuni.edu,TUT0201
"Aguilera, Christina",1003326441,christina.aguilera@myuni.edu,TUT0101
"Jonas, Nick",1003408866,nick.jonas@myuni.edu,TUT0201
"Cilmi, Gabriella",1006462649,gabriella.cilmi@myuni.edu,TUT0101
"Idol, Billy",1002485162,billy.idol@myuni.edu,TUT0401
"Trujillo, Robert",1004119886,robert.trujillo@myuni.edu,TUT0301
"Twin, Aphex",1009385517,aphex.twin@myuni.edu,TUT0401
"Presley, Lisa Marie",1006445236,lisa marie.presley@myuni.edu,TUT0401
"Wright, Richard",1004528186,richard.wright@myuni.edu,TUT0201
"Cook, David",1008231096,david.cook@myuni.edu,TUT0401
"Iglesias, Julio",1004274792,julio.iglesias@myuni.edu,TUT0201
"Wentz, Peter",1007983004,peter.wentz@myuni.edu,TUT0201
"Saranti, Kalomoira",1003009661,kalomoira.saranti@myuni.edu,TUT0301
"Bergendahl, Anna",1001250328,anna.bergendahl@myuni.edu,TUT0201
"Ray, Bobby",1002731227,bobby.ray@myuni.edu,TUT0201
"Satriani, Joe",1008502438,joe.satriani@myuni.edu,TUT0301
"Teymurzadeh, Aysel",1001318182,aysel.teymurzadeh@myuni.edu,TUT0201
"Eno, Brian",1002272369,brian.eno@myuni.edu,TUT0401
"Gheorghe, Elena",1005569761,elena.gheorghe@myuni.edu,TUT0301
"Allen, Kris",1003094776,kris.allen@myuni.edu,TUT0301
"Ross, Rick",1002145730,rick.ross@myuni.edu,TUT0401
"Graham, Aubrey",1006423226,aubrey.graham@myuni.edu,TUT0301
"Lambert, Adam",1003443561,adam.lambert@myuni.edu,TUT0101
"Lott, Pixie",1009922408,pixie.lott@myuni.edu,TUT0301
"Boyle, Susan",1007375310,susan.boyle@myuni.edu,TUT0201
"Balzary, Michael Peter",1005383845,michael peter.balzary@myuni.edu,TUT0201
"Minaj, Nicki",1009024795,nicki.minaj@myuni.edu,TUT0201
"Lydon, John",1004479583,john.lydon@myuni.edu,TUT0101
"Bieber, Justin",1009116851,justin.bieber@myuni.edu,TUT0201
"Goulding, Ellie",1002543717,ellie.goulding@myuni.edu,TUT0101
"Adamou, Ivi",1008706529,ivi.adamou@myuni.edu,TUT0301
"Kaulitz, Bill",1002141118,bill.kaulitz@myuni.edu,TUT0401
"Saade, Eric",1004823565,eric.saade@myuni.edu,TUT0401
"Leontyev, Valery",1001477123,valery.leontyev@myuni.edu,TUT0201
"Rivas, Eva",1004259917,eva.rivas@myuni.edu,TUT0301
"Alizadeh, Safura",1001421466,safura.alizadeh@myuni.edu,TUT0401
"Khil, Eduard",1002946693,eduard.khil@myuni.edu,TUT0301
"Halen, Eddie Van",1006844995,eddie van.halen@myuni.edu,TUT0101
"Nalitch, Peter",1006376548,peter.nalitch@myuni.edu,TUT0101
"Mars, Bruno",1004934638,bruno.mars@myuni.edu,TUT0101
"Ora, Rita",1007814224,rita.ora@myuni.edu,TUT0201
"Chance, Greyson Michael",1002630569,greyson michael.chance@myuni.edu,TUT0401
"Stan, Alexandra",1008510468,alexandra.stan@myuni.edu,TUT0101
"Murray, Dave",1007511322,dave.murray@myuni.edu,TUT0201
"Sheeran, Ed",1007201708,ed.sheeran@myuni.edu,TUT0101
"Jamal, Nigar",1004139417,nigar.jamal@myuni.edu,TUT0301
"Gasimov, Eldar",1001888461,eldar.gasimov@myuni.edu,TUT0201
"Katina, Lena",1003698202,lena.katina@myuni.edu,TUT0201
"Volkova, Yulia",1001373287,yulia.volkova@myuni.edu,TUT0301
"Fernandes, Paula",1004012253,paula.fernandes@myuni.edu,TUT0201
"Redding, Otis",1008461214,otis.redding@myuni.edu,TUT0401
"Samay, Soluna",1006773369,soluna.samay@myuni.edu,TUT0101
